date,amount,category,subcategory,description,merchant,transaction_type,user_id
2024-01-01,4053.76,Salary,Salary,Monthly salary payment,Tech Corp,income,4
2024-01-01,656.96,Freelance,Freelance,Freelance project payment,Upwork,income,4
2024-01-01,13.16,Shopping,Clothing,Retail shopping,CVS,expense,4
2024-01-04,1581.28,Housing,Mortgage,Mortgage payment,Home Depot,expense,4
2024-01-04,31.6,Transportation,Gas,Parking fee,Uber,expense,4
2024-01-04,20.83,Shopping,Electronics,Personal items,CVS,expense,4
2024-01-06,54.15,Transportation,Gas,Parking fee,Lyft,expense,4
2024-01-06,42.14,Bank Fee,Bank Fee,Send treat alone former star.,Ortiz-Lewis,expense,4
2024-01-07,41.34,Bank Fee,Bank Fee,Director build.,Keith PLC,expense,4
2024-01-10,36.3,Subscription,Subscription,Peace head perhaps state.,"Collins, Williams and Dunn",expense,4
2024-01-10,19.16,ATM Fee,ATM Fee,None hit task find.,"Bauer, Garcia and Hopkins",expense,4
2024-01-11,162.75,Utilities,Gas,Electric bill,Verizon,expense,4
2024-01-11,22.12,Entertainment,Movies,Subscription,Spotify,expense,4
2024-01-13,239.61,Utilities,Water,Electric bill,Verizon,expense,4
2024-01-13,16.06,Entertainment,Movies,Subscription,AMC Theaters,expense,4
2024-01-13,110.44,Healthcare,Pharmacy,Prescription,CVS Pharmacy,expense,4
2024-01-14,33.45,Food & Dining,Groceries,Coffee,Whole Foods,expense,4
2024-01-15,4021.23,Salary,Salary,Monthly salary payment,Healthcare LLC,income,4
2024-01-15,1614.82,Housing,HOA Fees,Property maintenance,Landlord,expense,4
2024-01-15,68.91,Transportation,Parking,Car payment,Metro,expense,4
2024-01-15,34.56,Transportation,Gas,Car payment,Uber,expense,4
2024-01-16,46.34,Transportation,Public Transit,Car payment,Uber,expense,4
2024-01-17,45.49,Transportation,Gas,Car payment,Chevron,expense,4
2024-01-17,6.95,Bank Fee,Bank Fee,Always chance key.,Graves Ltd,expense,4
2024-01-18,22.83,Shopping,Personal Care,Online purchase,Best Buy,expense,4
2024-01-19,42.55,Food & Dining,Restaurants,Coffee,Starbucks,expense,4
2024-01-19,50.17,Food & Dining,Delivery,Coffee,Starbucks,expense,4
2024-01-19,37.68,Bank Fee,Bank Fee,Turn soon anyone those.,Winters LLC,expense,4
2024-01-19,8.02,Subscription,Subscription,Sport protect majority.,"Young, Campbell and Young",expense,4
2024-01-20,1556.99,Housing,Maintenance,Property maintenance,Property Manager,expense,4
2024-01-20,16.31,Subscription,Subscription,Opportunity box group affect explain.,Munoz and Sons,expense,4
2024-01-21,225.19,Utilities,Water,Internet bill,Comcast,expense,4
2024-01-21,123.3,Healthcare,Pharmacy,Insurance,CVS Pharmacy,expense,4
2024-01-22,38.3,ATM Fee,ATM Fee,Lose head worry.,Lee-Johnson,expense,4
2024-01-23,26.2,Entertainment,Music,Concert,Steam,expense,4
2024-01-25,18.75,Subscription,Subscription,Situation police positive shake.,"Rivera, Bridges and Jones",expense,4
2024-01-26,36.31,Food & Dining,Restaurants,Lunch,Starbucks,expense,4
2024-01-26,15.64,Entertainment,Music,Movie tickets,Steam,expense,4
2024-01-27,36.51,ATM Fee,ATM Fee,Friend degree.,Bryan Group,expense,4
2024-01-28,49.16,Subscription,Subscription,Best by own.,"Hart, Smith and Zuniga",expense,4
2024-01-31,10.65,Food & Dining,Delivery,Coffee,Chipotle,expense,4
2024-02-01,3922.9,Salary,Salary,Monthly salary payment,Finance Inc,income,4
2024-02-01,45.77,Transportation,Public Transit,Gas fill-up,Uber,expense,4
2024-02-02,44.53,Food & Dining,Delivery,Dinner,Safeway,expense,4
2024-02-02,39.58,Shopping,Personal Care,Personal items,CVS,expense,4
2024-02-02,36.15,Bank Fee,Bank Fee,Major board sing sound usually.,Johnson-Berg,expense,4
2024-02-03,46.16,Transportation,Gas,Parking fee,Chevron,expense,4
2024-02-03,20.56,Shopping,Books,Retail shopping,CVS,expense,4
2024-02-03,21.25,Bank Fee,Bank Fee,Smile say significant lawyer.,Smith-Payne,expense,4
2024-02-03,7.28,ATM Fee,ATM Fee,Certainly drug grow.,Clark PLC,expense,4
2024-02-04,16.61,Entertainment,Music,Concert,PlayStation Store,expense,4
2024-02-04,37.1,Shopping,Books,Online purchase,Best Buy,expense,4
2024-02-05,43.53,Food & Dining,Delivery,Dinner,McDonalds,expense,4
2024-02-06,8.55,Shopping,Home Goods,Retail shopping,Amazon,expense,4
2024-02-07,20.29,Shopping,Home Goods,Retail shopping,Walgreens,expense,4
2024-02-08,13.62,Subscription,Subscription,Such speech right scene.,"Fowler, Mann and Gonzalez",expense,4
2024-02-10,1536.53,Housing,Maintenance,Rent payment,Bank of America,expense,4
2024-02-12,47.73,Transportation,Parking,Car payment,Uber,expense,4
2024-02-15,3894.64,Salary,Salary,Monthly salary payment,Tech Corp,income,4
2024-02-15,221.8,Utilities,Internet,Internet bill,Comcast,expense,4
2024-02-17,22.99,Transportation,Public Transit,Car payment,Chevron,expense,4
2024-02-17,14.88,Entertainment,Sports,Concert,PlayStation Store,expense,4
2024-02-17,38.11,Subscription,Subscription,Candidate any key.,"Smith, Sellers and Bass",expense,4
2024-02-17,22.14,Bank Fee,Bank Fee,Couple food nearly six film.,"Reyes, Crawford and Stafford",expense,4
2024-02-19,37.33,ATM Fee,ATM Fee,Positive prove.,Robinson-Taylor,expense,4
2024-02-20,35.13,Food & Dining,Groceries,Grocery shopping,Starbucks,expense,4
2024-02-21,19.11,Entertainment,Movies,Subscription,AMC Theaters,expense,4
2024-02-21,14.22,ATM Fee,ATM Fee,Her stand.,Thomas-Rivera,expense,4
2024-02-22,26.85,Transportation,Parking,Car payment,Shell,expense,4
2024-02-22,143.78,Healthcare,Dental,Prescription,Dental Associates,expense,4
2024-02-22,37.46,Subscription,Subscription,Program information receive.,Johnson-Harris,expense,4
2024-02-23,22.4,Bank Fee,Bank Fee,Eye the.,King-Strong,expense,4
2024-02-26,77.04,Transportation,Car Payment,Parking fee,Shell,expense,4
2024-02-26,47.77,Other,Other,Serve inside through actually save.,Williamson-Leonard,expense,4
2024-02-27,19.69,Entertainment,Movies,Concert,PlayStation Store,expense,4
2024-02-27,8.38,ATM Fee,ATM Fee,Throw without fact.,Douglas Group,expense,4
2024-02-28,44.03,Shopping,Books,Online purchase,Macys,expense,4
2024-02-28,129.69,Healthcare,Pharmacy,Insurance,Dental Associates,expense,4
2024-02-29,23.68,Food & Dining,Coffee,Lunch,Starbucks,expense,4
2024-03-01,3871.84,Salary,Salary,Monthly salary payment,Tech Corp,income,4
2024-03-01,19.06,Entertainment,Music,Concert,Netflix,expense,4
2024-03-02,228.18,Utilities,Electric,Internet bill,Verizon,expense,4
2024-03-02,8.37,Shopping,Clothing,Personal items,Target,expense,4
2024-03-03,1585.92,Housing,Property Tax,Rent payment,Home Depot,expense,4
2024-03-03,20.89,ATM Fee,ATM Fee,But place.,Wade Group,expense,4
2024-03-03,16.8,Bank Fee,Bank Fee,And understand yeah.,Thompson and Sons,expense,4
2024-03-04,7.45,Shopping,Books,Online purchase,Best Buy,expense,4
2024-03-04,44.28,Subscription,Subscription,Matter imagine cut serious they.,Ellis-Brown,expense,4
2024-03-05,24.58,ATM Fee,ATM Fee,Year weight lawyer spring successful.,Williams LLC,expense,4
2024-03-07,1591.05,Housing,Mortgage,Rent payment,Home Depot,expense,4
2024-03-07,19.32,Entertainment,Gaming,Movie tickets,Steam,expense,4
2024-03-07,20.38,Bank Fee,Bank Fee,So radio thought modern.,"Hudson, Ortega and King",expense,4
2024-03-08,48.7,Transportation,Public Transit,Parking fee,Uber,expense,4
2024-03-08,182.1,Healthcare,Dental,Prescription,CVS Pharmacy,expense,4
2024-03-09,21.73,Entertainment,Movies,Movie tickets,Spotify,expense,4
2024-03-10,17.24,Bank Fee,Bank Fee,Open ok official.,Ward-Camacho,expense,4
2024-03-10,5.29,Subscription,Subscription,No carry kitchen fast itself.,Brown and Sons,expense,4
2024-03-11,39.27,Food & Dining,Restaurants,Lunch,DoorDash,expense,4
2024-03-11,44.25,Other,Other,Anyone amount full mother.,"Porter, Carpenter and Rogers",expense,4
2024-03-12,14.65,ATM Fee,ATM Fee,Consider them high.,"Ortega, Carpenter and Ortiz",expense,4
2024-03-13,31.07,Food & Dining,Delivery,Dinner,Uber Eats,expense,4
2024-03-13,26.84,Entertainment,Streaming,Concert,PlayStation Store,expense,4
2024-03-14,47.74,ATM Fee,ATM Fee,Beat student president whose choose.,"Poole, Boone and Valdez",expense,4
2024-03-15,4003.21,Salary,Salary,Monthly salary payment,Healthcare LLC,income,4
2024-03-15,1040.4,Freelance,Freelance,Freelance project payment,Upwork,income,4
2024-03-15,32.66,Food & Dining,Fast Food,Coffee,Uber Eats,expense,4
2024-03-17,75.62,Transportation,Uber/Lyft,Parking fee,Honda Finance,expense,4
2024-03-17,8.45,Entertainment,Sports,Subscription,AMC Theaters,expense,4
2024-03-20,49.08,Bank Fee,Bank Fee,Help build reach receive.,Gomez Ltd,expense,4
2024-03-20,16.85,Subscription,Subscription,If officer.,Leonard-Wells,expense,4
2024-03-21,34.15,Bank Fee,Bank Fee,Speech president above.,Smith-Roberson,expense,4
2024-03-22,196.32,Healthcare,Dental,Insurance,Dental Associates,expense,4
2024-03-23,1556.54,Housing,HOA Fees,Mortgage payment,Wells Fargo,expense,4
2024-03-23,22.77,Transportation,Car Payment,Parking fee,Chevron,expense,4
2024-03-23,76.36,Transportation,Gas,Car payment,Honda Finance,expense,4
2024-03-23,13.8,Transportation,Gas,Gas fill-up,Lyft,expense,4
2024-03-23,16.19,Shopping,Home Goods,Personal items,Target,expense,4
2024-03-24,211.72,Healthcare,Pharmacy,Insurance,CVS Pharmacy,expense,4
2024-03-25,28.39,Shopping,Home Goods,Retail shopping,Walgreens,expense,4
2024-03-25,324.71,Travel,Car Rental,Flight booking,Southwest Airlines,expense,4
2024-03-27,17.05,Entertainment,Sports,Movie tickets,Spotify,expense,4
2024-03-28,22.64,Shopping,Home Goods,Personal items,Best Buy,expense,4
2024-03-28,45.78,Other,Other,Foot institution letter visit let.,"Green, Young and Jones",expense,4
2024-03-28,41.45,Bank Fee,Bank Fee,Ten travel create north.,Keller-Owens,expense,4
2024-03-29,44.6,Food & Dining,Restaurants,Coffee,Safeway,expense,4
2024-03-31,163.54,Utilities,Internet,Electric bill,Verizon,expense,4
2024-03-31,8.56,Shopping,Home Goods,Retail shopping,Walgreens,expense,4
2024-04-01,3976.59,Salary,Salary,Monthly salary payment,Tech Corp,income,4
2024-04-01,16.63,Bank Fee,Bank Fee,Computer area smile here garden.,Larson and Sons,expense,4
2024-04-02,49.82,Transportation,Parking,Parking fee,Chevron,expense,4
2024-04-03,21.84,Shopping,Clothing,Online purchase,Amazon,expense,4
2024-04-03,11.91,Other,Other,Song ever have less.,Ross and Sons,expense,4
2024-04-05,41.28,Bank Fee,Bank Fee,Box politics bank.,Bartlett and Sons,expense,4
2024-04-06,20.85,Food & Dining,Coffee,Dinner,Uber Eats,expense,4
2024-04-06,30.17,Shopping,Books,Retail shopping,Macys,expense,4
2024-04-08,47.81,Subscription,Subscription,Station cup sense.,"Frazier, Snyder and Gregory",expense,4
2024-04-12,5.76,Entertainment,Sports,Concert,PlayStation Store,expense,4
2024-04-12,27.79,Shopping,Clothing,Personal items,Walgreens,expense,4
2024-04-13,112.93,Healthcare,Dental,Insurance,Kaiser Permanente,expense,4
2024-04-13,133.29,Healthcare,Insurance Premium,Prescription,Kaiser Permanente,expense,4
2024-04-14,35.86,Food & Dining,Fast Food,Dinner,Starbucks,expense,4
2024-04-15,3669.99,Salary,Salary,Monthly salary payment,Healthcare LLC,income,4
2024-04-15,15.83,Entertainment,Gaming,Movie tickets,Steam,expense,4
2024-04-16,74.7,Transportation,Gas,Gas fill-up,Shell,expense,4
2024-04-18,249.85,Utilities,Gas,Internet bill,PG&E,expense,4
2024-04-18,28.06,Entertainment,Movies,Subscription,Steam,expense,4
2024-04-18,16.99,ATM Fee,ATM Fee,Oil expect need argue.,Garcia-Perkins,expense,4
2024-04-19,215.92,Utilities,Gas,Phone bill,PG&E,expense,4
2024-04-19,20.86,Entertainment,Gaming,Movie tickets,Spotify,expense,4
2024-04-20,130.71,Healthcare,Insurance Premium,Doctor visit,Kaiser Permanente,expense,4
2024-04-20,46.82,Subscription,Subscription,Out strong yard without.,"Gonzalez, Williams and Wilson",expense,4
2024-04-21,9.87,Entertainment,Streaming,Subscription,AMC Theaters,expense,4
2024-04-22,44.66,Shopping,Electronics,Retail shopping,Walgreens,expense,4
2024-04-23,48.71,Food & Dining,Groceries,Grocery shopping,Chipotle,expense,4
2024-04-23,37.75,Bank Fee,Bank Fee,Believe company her long.,Henderson-Christensen,expense,4
2024-04-26,23.74,ATM Fee,ATM Fee,Seek successful popular.,"Taylor, Lee and Cobb",expense,4
2024-04-27,29.37,Transportation,Public Transit,Parking fee,Chevron,expense,4
2024-04-28,1552.37,Housing,Rent,Property maintenance,Bank of America,expense,4
2024-04-29,40.7,Transportation,Gas,Gas fill-up,Metro,expense,4
2024-04-29,45.15,ATM Fee,ATM Fee,East Democrat cover green.,White Inc,expense,4
2024-05-01,3973.59,Salary,Salary,Monthly salary payment,Tech Corp,income,4
2024-05-01,6.63,Entertainment,Movies,Movie tickets,Spotify,expense,4
2024-05-01,115.5,Healthcare,Insurance Premium,Doctor visit,CVS Pharmacy,expense,4
2024-05-02,18.3,Food & Dining,Coffee,Grocery shopping,Whole Foods,expense,4
2024-05-02,21.46,Entertainment,Streaming,Concert,Netflix,expense,4
2024-05-04,189.44,Utilities,Internet,Phone bill,AT&T,expense,4
2024-05-04,5.66,Entertainment,Movies,Movie tickets,Netflix,expense,4
2024-05-05,35.12,Food & Dining,Restaurants,Dinner,Starbucks,expense,4
2024-05-07,14.32,Food & Dining,Fast Food,Grocery shopping,Chipotle,expense,4
2024-05-07,43.15,Transportation,Parking,Car payment,Chevron,expense,4
2024-05-07,63.85,Transportation,Public Transit,Car payment,Honda Finance,expense,4
2024-05-08,9.63,Food & Dining,Fast Food,Coffee,Starbucks,expense,4
2024-05-09,17.64,Subscription,Subscription,Charge author kitchen live.,"Simmons, Barrett and Jackson",expense,4
2024-05-11,19.65,Shopping,Personal Care,Online purchase,Amazon,expense,4
2024-05-11,26.89,Subscription,Subscription,Growth section think.,"Warren, Valentine and Duke",expense,4
2024-05-11,33.44,Subscription,Subscription,Scientist try keep direction.,"Gutierrez, Flynn and Maynard",expense,4
2024-05-12,15.3,Other,Other,Cut less ground.,Mcneil-Vang,expense,4
