date,amount,category,subcategory,description,merchant,transaction_type,user_id
2024-01-01,5608.03,Salary,Salary,Monthly salary payment,Healthcare LLC,income,3
2024-01-01,2262.25,Housing,Rent,Rent payment,Wells Fargo,expense,3
2024-01-01,20.58,ATM Fee,ATM Fee,Look enter service.,Gallegos-Brewer,expense,3
2024-01-02,32.23,Bank Fee,Bank Fee,Federal behind drive small.,Johnston LLC,expense,3
2024-01-03,50.69,Food & Dining,Groceries,Coffee,Whole Foods,expense,3
2024-01-03,35.75,Entertainment,Movies,Movie tickets,Steam,expense,3
2024-01-05,2078.97,Housing,Mortgage,Mortgage payment,Property Manager,expense,3
2024-01-07,11.5,Other,Other,Leave measure.,"Lopez, Ryan and Brown",expense,3
2024-01-08,17.73,Food & Dining,Coffee,Lunch,Uber Eats,expense,3
2024-01-08,295.17,Utilities,Phone,Electric bill,Comcast,expense,3
2024-01-08,21.3,Other,Other,Begin serve.,Golden-Cooper,expense,3
2024-01-09,10.83,Subscription,Subscription,Fear teacher matter adult fund.,Herrera-Todd,expense,3
2024-01-12,31.0,Food & Dining,Coffee,Coffee,Safeway,expense,3
2024-01-13,32.95,Subscription,Subscription,Chair fall number himself.,Ingram-Mcdonald,expense,3
2024-01-15,5554.5,Salary,Salary,Monthly salary payment,Tech Corp,income,3
2024-01-16,28.12,Entertainment,Gaming,Concert,Spotify,expense,3
2024-01-16,6.43,Subscription,Subscription,Nation close up account.,Griffith-Warner,expense,3
2024-01-17,74.43,Food & Dining,Groceries,Dinner,Whole Foods,expense,3
2024-01-17,55.97,Transportation,Car Payment,Parking fee,Metro,expense,3
2024-01-18,80.19,Transportation,Parking,Gas fill-up,Shell,expense,3
2024-01-18,9.72,Entertainment,Movies,Concert,AMC Theaters,expense,3
2024-01-18,39.0,Shopping,Electronics,Personal items,CVS,expense,3
2024-01-18,244.35,Healthcare,Insurance Premium,Insurance,CVS Pharmacy,expense,3
2024-01-18,11.78,Other,Other,Charge within already plan degree.,"Reyes, Mcdonald and Curtis",expense,3
2024-01-19,31.05,Entertainment,Movies,Concert,PlayStation Store,expense,3
2024-01-20,65.8,Food & Dining,Restaurants,Lunch,Safeway,expense,3
2024-01-20,12.3,Entertainment,Gaming,Subscription,AMC Theaters,expense,3
2024-01-22,21.04,Entertainment,Gaming,Movie tickets,PlayStation Store,expense,3
2024-01-25,54.83,Shopping,Electronics,Personal items,Amazon,expense,3
2024-01-26,2261.59,Housing,Property Tax,Mortgage payment,Wells Fargo,expense,3
2024-01-26,322.95,Utilities,Phone,Electric bill,Comcast,expense,3
2024-01-30,60.22,Transportation,Car Payment,Car payment,Shell,expense,3
2024-01-30,22.91,Shopping,Electronics,Online purchase,CVS,expense,3
2024-01-31,90.63,Transportation,Car Payment,Parking fee,Chevron,expense,3
2024-02-01,5548.51,Salary,Salary,Monthly salary payment,Finance Inc,income,3
2024-02-01,1470.4,Freelance,Freelance,Freelance project payment,Upwork,income,3
2024-02-02,24.68,Shopping,Personal Care,Online purchase,Amazon,expense,3
2024-02-04,210.72,Healthcare,Dental,Doctor visit,Dental Associates,expense,3
2024-02-04,43.82,Other,Other,Own few pass class spring.,Johnson-Jackson,expense,3
2024-02-05,66.65,Food & Dining,Restaurants,Lunch,Safeway,expense,3
2024-02-06,42.02,Food & Dining,Restaurants,Grocery shopping,Chipotle,expense,3
2024-02-07,51.84,Transportation,Parking,Gas fill-up,Metro,expense,3
2024-02-09,47.11,ATM Fee,ATM Fee,Week eight able.,"Lowery, Davis and Cummings",expense,3
2024-02-10,60.27,Transportation,Uber/Lyft,Parking fee,Chevron,expense,3
2024-02-10,13.72,Subscription,Subscription,Democratic after agreement.,Henderson Group,expense,3
2024-02-10,36.69,Other,Other,Toward expert amount author.,Perez-Lee,expense,3
2024-02-11,10.04,Entertainment,Streaming,Subscription,Netflix,expense,3
2024-02-11,17.13,Entertainment,Sports,Subscription,PlayStation Store,expense,3
2024-02-11,48.31,Bank Fee,Bank Fee,Control animal give agree position.,Mendez-Atkins,expense,3
2024-02-12,56.73,Food & Dining,Delivery,Dinner,Uber Eats,expense,3
2024-02-13,12.14,Food & Dining,Delivery,Dinner,Safeway,expense,3
2024-02-13,69.77,Food & Dining,Fast Food,Grocery shopping,Safeway,expense,3
2024-02-14,16.06,Entertainment,Streaming,Concert,PlayStation Store,expense,3
2024-02-15,5476.36,Salary,Salary,Monthly salary payment,Tech Corp,income,3
2024-02-15,789.64,Freelance,Freelance,Freelance project payment,Upwork,income,3
2024-02-16,87.03,Transportation,Car Payment,Car payment,Honda Finance,expense,3
2024-02-16,35.16,Entertainment,Movies,Subscription,Spotify,expense,3
2024-02-16,38.95,Bank Fee,Bank Fee,Else form worker military ball.,"Rodriguez, Berry and Rice",expense,3
2024-02-17,26.92,Subscription,Subscription,Born company star forward.,Zhang and Sons,expense,3
2024-02-20,78.42,Transportation,Uber/Lyft,Gas fill-up,Chevron,expense,3
2024-02-20,27.5,Shopping,Personal Care,Retail shopping,Target,expense,3
2024-02-22,266.13,Utilities,Internet,Phone bill,PG&E,expense,3
2024-02-22,49.64,Bank Fee,Bank Fee,Agreement body decision.,"Combs, Welch and Watkins",expense,3
2024-02-23,278.86,Healthcare,Doctor Visit,Doctor visit,CVS Pharmacy,expense,3
2024-02-23,35.51,ATM Fee,ATM Fee,Piece try court.,Garcia-Faulkner,expense,3
2024-02-24,43.84,Food & Dining,Coffee,Grocery shopping,Whole Foods,expense,3
2024-02-25,2274.47,Housing,HOA Fees,Property maintenance,Property Manager,expense,3
2024-02-25,244.16,Utilities,Internet,Internet bill,Water Company,expense,3
2024-02-26,30.56,Entertainment,Gaming,Concert,AMC Theaters,expense,3
2024-02-26,9.81,Other,Other,Hold authority budget.,Perry Ltd,expense,3
2024-02-27,95.24,Transportation,Public Transit,Car payment,Chevron,expense,3
2024-02-28,49.29,Shopping,Personal Care,Online purchase,CVS,expense,3
2024-02-29,25.42,Entertainment,Music,Movie tickets,AMC Theaters,expense,3
2024-03-01,5618.44,Salary,Salary,Monthly salary payment,Tech Corp,income,3
2024-03-01,86.24,Transportation,Car Payment,Parking fee,Uber,expense,3
2024-03-02,39.83,Subscription,Subscription,Truth like face take.,Robinson Ltd,expense,3
2024-03-02,39.5,Subscription,Subscription,Either hot.,Miller-Young,expense,3
2024-03-02,14.99,Subscription,Subscription,Tell group.,Collins-Taylor,expense,3
2024-03-03,35.58,Entertainment,Gaming,Movie tickets,Netflix,expense,3
2024-03-04,14.82,Entertainment,Music,Concert,Spotify,expense,3
2024-03-04,9.83,Bank Fee,Bank Fee,Rest wait attorney student.,Vaughn-Cobb,expense,3
