date,amount,category,subcategory,description,merchant,transaction_type,user_id
2024-01-01,3474.83,Salary,Salary,Monthly salary payment,Healthcare LLC,income,2
2024-01-01,42.3,Shopping,Clothing,Retail shopping,Amazon,expense,2
2024-01-01,48.26,Subscription,Subscription,Discover direction seek now.,Guerra-Erickson,expense,2
2024-01-02,21.69,Shopping,Electronics,Personal items,Walgreens,expense,2
2024-01-02,373.11,Travel,Flights,Vacation expense,Southwest Airlines,expense,2
2024-01-03,23.36,Entertainment,Movies,Concert,Steam,expense,2
2024-01-03,43.19,Shopping,Personal Care,Online purchase,Target,expense,2
2024-01-04,1362.56,Housing,HOA Fees,Property maintenance,Property Manager,expense,2
2024-01-04,11.49,Transportation,Parking,Parking fee,Shell,expense,2
2024-01-04,5.33,Entertainment,Movies,Subscription,Netflix,expense,2
2024-01-04,19.02,Shopping,Personal Care,Online purchase,Best Buy,expense,2
2024-01-05,23.73,Food & Dining,Fast Food,Grocery shopping,Safeway,expense,2
2024-01-05,189.59,Healthcare,Dental,Doctor visit,Dental Associates,expense,2
2024-01-06,15.64,ATM Fee,ATM Fee,Professor last customer.,"Herrera, Mason and Cole",expense,2
2024-01-07,168.88,Utilities,Gas,Electric bill,Verizon,expense,2
2024-01-08,46.17,Food & Dining,Coffee,Coffee,Whole Foods,expense,2
2024-01-08,223.51,Utilities,Water,Electric bill,Comcast,expense,2
2024-01-08,163.22,Healthcare,Pharmacy,Prescription,Kaiser Permanente,expense,2
2024-01-08,46.8,ATM Fee,ATM Fee,That recognize reason model.,Gamble PLC,expense,2
2024-01-09,19.7,Food & Dining,Restaurants,Grocery shopping,DoorDash,expense,2
2024-01-10,8.26,Food & Dining,Groceries,Coffee,Starbucks,expense,2
2024-01-10,39.4,Transportation,Uber/Lyft,Car payment,Honda Finance,expense,2
2024-01-13,1398.78,Housing,Maintenance,Property maintenance,Home Depot,expense,2
2024-01-13,6.11,Entertainment,Movies,Concert,Netflix,expense,2
2024-01-15,3488.79,Salary,Salary,Monthly salary payment,Finance Inc,income,2
2024-01-15,1066.23,Freelance,Freelance,Freelance project payment,Upwork,income,2
2024-01-17,20.97,Entertainment,Music,Concert,AMC Theaters,expense,2
2024-01-17,29.75,Shopping,Electronics,Personal items,CVS,expense,2
2024-01-18,40.05,Bank Fee,Bank Fee,Particularly past.,Liu and Sons,expense,2
2024-01-20,13.91,Subscription,Subscription,Chance peace memory.,Smith-Alexander,expense,2
2024-01-21,4.93,Entertainment,Sports,Concert,PlayStation Store,expense,2
