date,amount,category,subcategory,description,merchant,transaction_type,user_id
2024-01-01,3908.81,Salary,Salary,Monthly salary payment,Healthcare LLC,income,5
2024-01-01,902.9,Freelance,Freelance,Freelance project payment,Upwork,income,5
2024-01-01,18.15,Subscription,Subscription,Always high treatment stock.,Mckinney-Wade,expense,5
2024-01-03,1590.94,Housing,Maintenance,Rent payment,Wells Fargo,expense,5
2024-01-03,26.54,Entertainment,Streaming,Movie tickets,AMC Theaters,expense,5
2024-01-03,193.69,Healthcare,Insurance Premium,Doctor visit,CVS Pharmacy,expense,5
2024-01-04,5.07,Other,Other,Difference financial way.,Cantu PLC,expense,5
2024-01-05,36.43,Food & Dining,Coffee,Coffee,Uber Eats,expense,5
2024-01-08,20.14,Subscription,Subscription,Ball since although top teach.,Espinoza LLC,expense,5
2024-01-09,8.77,Entertainment,Movies,Concert,AMC Theaters,expense,5
2024-01-11,238.34,Utilities,Phone,Internet bill,Verizon,expense,5
2024-01-11,9.82,Shopping,Books,Personal items,Target,expense,5
2024-01-12,9.44,Entertainment,Sports,Concert,Steam,expense,5
2024-01-12,8.32,ATM Fee,ATM Fee,Son determine high too again.,"Conner, Hurst and Reyes",expense,5
2024-01-13,7.55,Entertainment,Streaming,Movie tickets,Spotify,expense,5
2024-01-13,46.18,Shopping,Books,Online purchase,Amazon,expense,5
2024-01-13,24.34,Subscription,Subscription,Mother training probably power.,Wheeler Ltd,expense,5
2024-01-14,24.79,Shopping,Personal Care,Retail shopping,Macys,expense,5
2024-01-15,4161.82,Salary,Salary,Monthly salary payment,Healthcare LLC,income,5
2024-01-17,35.94,Transportation,Public Transit,Gas fill-up,Honda Finance,expense,5
2024-01-17,164.01,Utilities,Water,Internet bill,Verizon,expense,5
2024-01-17,18.13,Shopping,Home Goods,Retail shopping,Amazon,expense,5
2024-01-18,33.03,Food & Dining,Restaurants,Dinner,Starbucks,expense,5
2024-01-18,26.58,Food & Dining,Groceries,Coffee,Uber Eats,expense,5
2024-01-18,30.36,Entertainment,Streaming,Movie tickets,Spotify,expense,5
2024-01-18,15.4,Other,Other,Bed dream us back some.,Franco PLC,expense,5
2024-01-19,33.3,Food & Dining,Fast Food,Coffee,DoorDash,expense,5
2024-01-20,41.3,Food & Dining,Groceries,Grocery shopping,Safeway,expense,5
2024-01-21,13.43,Other,Other,Cover coach reach.,Watson-Schwartz,expense,5
2024-01-22,35.7,Food & Dining,Coffee,Grocery shopping,Whole Foods,expense,5
2024-01-22,26.63,Bank Fee,Bank Fee,Opportunity someone represent reveal.,Hess Inc,expense,5
2024-01-23,42.44,Transportation,Gas,Gas fill-up,Uber,expense,5
2024-01-23,211.69,Utilities,Internet,Electric bill,Verizon,expense,5
2024-01-23,8.63,Entertainment,Sports,Movie tickets,Netflix,expense,5
2024-01-24,150.81,Healthcare,Pharmacy,Doctor visit,Kaiser Permanente,expense,5
2024-01-24,26.92,Other,Other,State push often strong.,Thomas-Sandoval,expense,5
2024-01-24,26.1,Bank Fee,Bank Fee,Fine history nor.,Wood-Mitchell,expense,5
2024-01-25,1701.02,Housing,Maintenance,Property maintenance,Bank of America,expense,5
2024-01-26,23.43,Transportation,Gas,Gas fill-up,Honda Finance,expense,5
2024-01-28,1667.36,Housing,HOA Fees,Rent payment,Property Manager,expense,5
2024-01-29,31.75,ATM Fee,ATM Fee,Century kind cup today.,Warner and Sons,expense,5
2024-01-29,48.85,ATM Fee,ATM Fee,Turn church property.,"Green, Hunt and Smith",expense,5
2024-01-30,38.59,Transportation,Parking,Parking fee,Lyft,expense,5
2024-01-31,14.65,ATM Fee,ATM Fee,If do.,"Sullivan, Brown and Wiggins",expense,5
2024-02-01,3915.61,Salary,Salary,Monthly salary payment,Tech Corp,income,5
2024-02-01,44.3,Bank Fee,Bank Fee,Two walk rock specific.,Hudson LLC,expense,5
2024-02-01,47.78,Other,Other,Population quality brother show.,"Gonzalez, Tran and Martinez",expense,5
2024-02-02,60.49,Transportation,Uber/Lyft,Gas fill-up,Chevron,expense,5
2024-02-02,39.97,Shopping,Home Goods,Retail shopping,Amazon,expense,5
2024-02-03,130.69,Healthcare,Pharmacy,Insurance,Kaiser Permanente,expense,5
2024-02-05,18.18,Entertainment,Music,Movie tickets,Spotify,expense,5
2024-02-05,45.18,Shopping,Home Goods,Personal items,Best Buy,expense,5
2024-02-06,39.49,Subscription,Subscription,Own side rate.,Hernandez LLC,expense,5
2024-02-07,15.55,Shopping,Electronics,Personal items,Target,expense,5
2024-02-08,141.25,Healthcare,Dental,Doctor visit,Dental Associates,expense,5
2024-02-09,49.49,Shopping,Books,Retail shopping,CVS,expense,5
2024-02-10,25.16,Transportation,Gas,Gas fill-up,Shell,expense,5
2024-02-10,10.77,Subscription,Subscription,Under require grow.,Mann Inc,expense,5
2024-02-12,33.14,Other,Other,Floor apply student.,Hughes-Morales,expense,5
2024-02-14,35.3,Transportation,Public Transit,Parking fee,Honda Finance,expense,5
2024-02-15,3954.94,Salary,Salary,Monthly salary payment,Healthcare LLC,income,5
2024-02-15,66.02,Transportation,Parking,Parking fee,Uber,expense,5
2024-02-15,66.98,Transportation,Car Payment,Parking fee,Lyft,expense,5
2024-02-16,13.47,Other,Other,Two which example around.,Smith-Luna,expense,5
2024-02-18,12.75,Food & Dining,Restaurants,Grocery shopping,Safeway,expense,5
2024-02-18,28.11,Shopping,Personal Care,Personal items,Walgreens,expense,5
2024-02-20,219.72,Utilities,Internet,Internet bill,Verizon,expense,5
2024-02-21,1590.82,Housing,HOA Fees,Property maintenance,Property Manager,expense,5
2024-02-21,9.99,Entertainment,Music,Concert,Steam,expense,5
2024-02-24,35.93,Other,Other,Chair great ask body.,"Hughes, Gonzalez and Mclaughlin",expense,5
2024-02-27,35.36,Food & Dining,Delivery,Grocery shopping,DoorDash,expense,5
2024-02-27,21.67,Entertainment,Movies,Movie tickets,AMC Theaters,expense,5
2024-02-27,28.56,Entertainment,Gaming,Movie tickets,Netflix,expense,5
2024-02-28,5.7,Entertainment,Gaming,Subscription,AMC Theaters,expense,5
2024-02-28,196.31,Healthcare,Pharmacy,Prescription,Dental Associates,expense,5
2024-02-29,42.53,Food & Dining,Groceries,Dinner,Uber Eats,expense,5
2024-03-01,4224.79,Salary,Salary,Monthly salary payment,Finance Inc,income,5
2024-03-01,1346.77,Freelance,Freelance,Freelance project payment,Client A,income,5
2024-03-01,28.0,Bank Fee,Bank Fee,Then involve treat.,Gonzales Ltd,expense,5
2024-03-02,55.78,Transportation,Gas,Car payment,Uber,expense,5
2024-03-04,54.52,Food & Dining,Restaurants,Dinner,Starbucks,expense,5
2024-03-07,34.77,Food & Dining,Restaurants,Dinner,Uber Eats,expense,5
2024-03-07,263.75,Utilities,Phone,Phone bill,Verizon,expense,5
2024-03-08,20.6,Transportation,Public Transit,Parking fee,Chevron,expense,5
2024-03-09,1650.99,Housing,Property Tax,Rent payment,Bank of America,expense,5
2024-03-09,74.05,Transportation,Uber/Lyft,Car payment,Lyft,expense,5
2024-03-10,142.76,Healthcare,Dental,Prescription,Kaiser Permanente,expense,5
2024-03-11,79.76,Transportation,Public Transit,Car payment,Shell,expense,5
2024-03-11,15.29,ATM Fee,ATM Fee,Meeting former reality new option.,"Johnson, Stevens and Lewis",expense,5
2024-03-11,49.72,Other,Other,Yeah build report include.,Moreno PLC,expense,5
2024-03-12,29.24,Subscription,Subscription,Me land better.,Lee PLC,expense,5
2024-03-15,4263.09,Salary,Salary,Monthly salary payment,Finance Inc,income,5
2024-03-15,191.16,Utilities,Phone,Phone bill,AT&T,expense,5
2024-03-17,36.63,Food & Dining,Restaurants,Grocery shopping,Starbucks,expense,5
2024-03-17,25.96,Transportation,Parking,Gas fill-up,Shell,expense,5
2024-03-18,1690.8,Housing,HOA Fees,Rent payment,Wells Fargo,expense,5
2024-03-18,37.61,Shopping,Clothing,Online purchase,Macys,expense,5
2024-03-18,16.57,Shopping,Clothing,Retail shopping,Target,expense,5
2024-03-18,224.91,Healthcare,Dental,Insurance,Kaiser Permanente,expense,5
2024-03-19,702.85,Travel,Flights,Flight booking,Hertz,expense,5
2024-03-20,27.58,Entertainment,Sports,Subscription,Steam,expense,5
2024-03-21,7.85,Entertainment,Music,Subscription,Steam,expense,5
2024-03-23,11.01,Subscription,Subscription,Senior theory.,Herrera Inc,expense,5
2024-03-24,197.63,Healthcare,Dental,Prescription,CVS Pharmacy,expense,5
2024-03-25,34.82,Food & Dining,Groceries,Grocery shopping,Chipotle,expense,5
2024-03-25,36.29,Food & Dining,Groceries,Dinner,Chipotle,expense,5
2024-03-25,38.22,Transportation,Parking,Car payment,Metro,expense,5
2024-03-25,27.64,Entertainment,Streaming,Movie tickets,AMC Theaters,expense,5
2024-03-27,28.02,ATM Fee,ATM Fee,Property citizen.,"Hart, White and Campbell",expense,5
2024-03-28,20.67,Shopping,Clothing,Online purchase,Macys,expense,5
2024-03-28,41.29,Shopping,Home Goods,Personal items,Target,expense,5
2024-03-31,48.18,Food & Dining,Groceries,Dinner,Chipotle,expense,5
2024-03-31,50.76,Shopping,Home Goods,Personal items,CVS,expense,5
2024-04-01,4120.07,Salary,Salary,Monthly salary payment,Tech Corp,income,5
2024-04-01,1982.36,Freelance,Freelance,Freelance project payment,Upwork,income,5
2024-04-02,18.06,Entertainment,Music,Concert,Spotify,expense,5
2024-04-03,48.66,Food & Dining,Groceries,Grocery shopping,Starbucks,expense,5
2024-04-04,140.38,Healthcare,Pharmacy,Doctor visit,Kaiser Permanente,expense,5
2024-04-05,49.87,Transportation,Public Transit,Gas fill-up,Lyft,expense,5
2024-04-08,216.39,Utilities,Gas,Phone bill,AT&T,expense,5
2024-04-08,283.75,Utilities,Electric,Electric bill,PG&E,expense,5
2024-04-08,18.5,Entertainment,Sports,Subscription,Spotify,expense,5
2024-04-08,18.17,Shopping,Electronics,Personal items,Amazon,expense,5
2024-04-09,6.46,Subscription,Subscription,Total country water require.,"Anderson, Bean and Davenport",expense,5
2024-04-09,18.39,Bank Fee,Bank Fee,The support find.,Hayden Inc,expense,5
2024-04-11,34.57,Shopping,Home Goods,Personal items,Walgreens,expense,5
2024-04-12,14.91,Transportation,Parking,Parking fee,Lyft,expense,5
2024-04-13,48.74,ATM Fee,ATM Fee,Sell her boy Mrs.,Patel-Baxter,expense,5
2024-04-15,3923.5,Salary,Salary,Monthly salary payment,Tech Corp,income,5
2024-04-15,1511.57,Freelance,Freelance,Freelance project payment,Client B,income,5
2024-04-15,21.23,Entertainment,Music,Concert,AMC Theaters,expense,5
