date,amount,category,subcategory,description,merchant,transaction_type,user_id
2024-01-01,2610.11,Salary,Salary,Monthly salary payment,Healthcare LLC,income,6
2024-01-01,32.44,Shopping,Personal Care,Retail shopping,CVS,expense,6
2024-01-01,41.78,Bank Fee,Bank Fee,Next rule memory argue.,"Stewart, Mays and Burke",expense,6
2024-01-02,48.1,Transportation,Parking,Car payment,Metro,expense,6
2024-01-02,3.2,Entertainment,Sports,Concert,Netflix,expense,6
2024-01-05,19.04,Food & Dining,Fast Food,Grocery shopping,Chipotle,expense,6
2024-01-06,29.18,Shopping,Electronics,Retail shopping,Walgreens,expense,6
2024-01-09,15.05,Food & Dining,Delivery,Coffee,DoorDash,expense,6
2024-01-09,14.42,Other,Other,Keep fish east.,"Crawford, Griffin and Cruz",expense,6
2024-01-11,1024.73,Housing,Rent,Property maintenance,Property Manager,expense,6
2024-01-13,3.13,Entertainment,Music,Concert,Spotify,expense,6
2024-01-13,93.87,Healthcare,Pharmacy,Prescription,CVS Pharmacy,expense,6
2024-01-13,5.79,Subscription,Subscription,Cost sell seem.,"Clark, Salazar and Kennedy",expense,6
2024-01-14,26.27,Transportation,Uber/Lyft,Car payment,Uber,expense,6
2024-01-14,27.15,Transportation,Car Payment,Gas fill-up,Chevron,expense,6
2024-01-15,2624.34,Salary,Salary,Monthly salary payment,Finance Inc,income,6
2024-01-15,26.46,Shopping,Clothing,Retail shopping,Target,expense,6
2024-01-15,42.02,Other,Other,Free behind who.,"Hamilton, Reese and Peterson",expense,6
2024-01-15,45.28,Bank Fee,Bank Fee,Table age.,Campbell LLC,expense,6
2024-01-16,31.53,Food & Dining,Groceries,Lunch,DoorDash,expense,6
2024-01-16,20.26,Shopping,Clothing,Retail shopping,Best Buy,expense,6
2024-01-16,5.7,ATM Fee,ATM Fee,Just possible.,Harris Inc,expense,6
2024-01-17,1062.38,Housing,Mortgage,Mortgage payment,Bank of America,expense,6
2024-01-20,119.5,Utilities,Electric,Phone bill,PG&E,expense,6
2024-01-21,10.01,Transportation,Parking,Car payment,Metro,expense,6
2024-01-21,115.09,Healthcare,Insurance Premium,Doctor visit,Dental Associates,expense,6
2024-01-21,35.32,Subscription,Subscription,World try drop Congress.,"Wells, Park and Lopez",expense,6
2024-01-22,5.31,ATM Fee,ATM Fee,Agreement game.,"Schultz, Reynolds and Williams",expense,6
2024-01-24,30.03,Transportation,Public Transit,Car payment,Chevron,expense,6
2024-01-24,134.75,Travel,Car Rental,Vacation expense,Hertz,expense,6
2024-01-24,40.0,Bank Fee,Bank Fee,Out discover at medical color.,"Todd, Washington and Turner",expense,6
2024-01-24,11.53,ATM Fee,ATM Fee,Laugh television close factor.,"Mclaughlin, Robinson and Clayton",expense,6
2024-01-25,31.71,Shopping,Clothing,Personal items,Macys,expense,6
2024-01-26,12.71,Entertainment,Streaming,Concert,Steam,expense,6
2024-01-28,18.63,Subscription,Subscription,Example official its.,Stevens-Marquez,expense,6
2024-01-29,48.05,Bank Fee,Bank Fee,System ever hotel near.,Johnson-Burns,expense,6
2024-01-29,39.65,Subscription,Subscription,Main glass that.,Johnson Inc,expense,6
2024-01-30,1105.66,Housing,HOA Fees,Mortgage payment,Bank of America,expense,6
2024-01-30,11.75,Food & Dining,Fast Food,Coffee,Chipotle,expense,6
2024-01-30,8.21,Transportation,Public Transit,Car payment,Lyft,expense,6
