date,amount,category,subcategory,description,merchant,transaction_type,user_id
2024-01-01,3488.36,Salary,Salary,Monthly salary payment,Healthcare LLC,income,1
2024-01-01,1416.98,Housing,HOA Fees,Property maintenance,Wells Fargo,expense,1
2024-01-01,137.87,Utilities,Electric,Phone bill,Water Company,expense,1
2024-01-01,23.67,Shopping,Personal Care,Online purchase,Target,expense,1
2024-01-01,29.63,Subscription,Subscription,Investment minute.,Farrell-Rhodes,expense,1
2024-01-05,17.03,ATM Fee,ATM Fee,Rock knowledge throw order camera.,Williamson-King,expense,1
2024-01-07,41.84,ATM Fee,ATM Fee,Task concern.,Brown-Walter,expense,1
2024-01-09,136.75,Healthcare,Doctor Visit,Doctor visit,Dental Associates,expense,1
2024-01-10,53.1,Transportation,Public Transit,Gas fill-up,Chevron,expense,1
2024-01-10,10.74,Entertainment,Sports,Movie tickets,Steam,expense,1
2024-01-10,22.98,Entertainment,Movies,Movie tickets,Steam,expense,1
2024-01-10,8.87,Shopping,Books,Online purchase,Walgreens,expense,1
2024-01-12,21.09,Food & Dining,Delivery,Dinner,Safeway,expense,1
2024-01-12,47.01,Subscription,Subscription,Entire man create.,Orr Group,expense,1
2024-01-14,44.23,Food & Dining,Groceries,Dinner,Chipotle,expense,1
2024-01-14,15.53,Entertainment,Streaming,Movie tickets,AMC Theaters,expense,1
2024-01-15,3686.11,Salary,Salary,Monthly salary payment,Healthcare LLC,income,1
2024-01-15,12.11,Shopping,Personal Care,Personal items,CVS,expense,1
2024-01-16,17.72,Transportation,Parking,Parking fee,Metro,expense,1
2024-01-16,45.0,Transportation,Public Transit,Parking fee,Lyft,expense,1
2024-01-18,1503.06,Housing,Mortgage,Mortgage payment,Property Manager,expense,1
2024-01-18,33.47,Food & Dining,Fast Food,Dinner,Uber Eats,expense,1
2024-01-19,26.18,Shopping,Personal Care,Retail shopping,CVS,expense,1
2024-01-22,47.89,ATM Fee,ATM Fee,Method tend group.,Watson-Phelps,expense,1
2024-01-23,14.35,Bank Fee,Bank Fee,Until head party that.,Davis-Ortega,expense,1
2024-01-24,29.72,Shopping,Personal Care,Retail shopping,Macys,expense,1
2024-01-27,222.3,Utilities,Water,Internet bill,Water Company,expense,1
2024-01-28,44.08,Transportation,Parking,Parking fee,Uber,expense,1
2024-01-29,1518.65,Housing,Rent,Property maintenance,Wells Fargo,expense,1
2024-01-29,26.68,Entertainment,Sports,Movie tickets,Steam,expense,1
2024-01-29,18.72,Shopping,Electronics,Retail shopping,Target,expense,1
2024-01-30,55.55,Transportation,Public Transit,Gas fill-up,Metro,expense,1
2024-01-30,22.75,Entertainment,Music,Subscription,Spotify,expense,1
2024-02-01,3724.87,Salary,Salary,Monthly salary payment,Tech Corp,income,1
2024-02-01,1443.49,Freelance,Freelance,Freelance project payment,Client A,income,1
2024-02-01,125.89,Healthcare,Dental,Doctor visit,Kaiser Permanente,expense,1
2024-02-02,45.72,Food & Dining,Fast Food,Grocery shopping,Uber Eats,expense,1
2024-02-05,6.6,Entertainment,Streaming,Subscription,AMC Theaters,expense,1
2024-02-05,39.06,Bank Fee,Bank Fee,Put usually training.,Landry and Sons,expense,1
2024-02-06,49.49,Food & Dining,Groceries,Lunch,DoorDash,expense,1
2024-02-06,23.8,Entertainment,Gaming,Concert,Steam,expense,1
2024-02-09,20.51,Entertainment,Movies,Subscription,PlayStation Store,expense,1
2024-02-10,230.16,Utilities,Electric,Internet bill,Water Company,expense,1
2024-02-10,324.77,Travel,Hotels,Hotel stay,Marriott,expense,1
2024-02-11,42.1,ATM Fee,ATM Fee,Provide remain staff.,Hess Inc,expense,1
2024-02-12,48.36,Food & Dining,Coffee,Dinner,Whole Foods,expense,1
2024-02-12,16.39,Shopping,Electronics,Personal items,Macys,expense,1
2024-02-12,18.81,Shopping,Clothing,Retail shopping,Best Buy,expense,1
2024-02-14,33.42,Subscription,Subscription,Help need watch keep.,Phillips and Sons,expense,1
2024-02-15,3655.67,Salary,Salary,Monthly salary payment,Healthcare LLC,income,1
2024-02-15,1417.67,Housing,Mortgage,Rent payment,Home Depot,expense,1
2024-02-16,37.01,ATM Fee,ATM Fee,Share draw television goal.,Arellano-Mcmillan,expense,1
2024-02-18,58.68,Transportation,Car Payment,Gas fill-up,Chevron,expense,1
2024-02-19,22.28,Other,Other,This sound glass item.,Miller-King,expense,1
2024-02-20,8.21,Shopping,Clothing,Personal items,Walgreens,expense,1
2024-02-21,24.41,Entertainment,Sports,Concert,PlayStation Store,expense,1
2024-02-21,164.68,Healthcare,Pharmacy,Prescription,CVS Pharmacy,expense,1
2024-02-21,169.06,Healthcare,Doctor Visit,Prescription,Kaiser Permanente,expense,1
2024-02-22,68.81,Transportation,Car Payment,Gas fill-up,Chevron,expense,1
2024-02-23,16.51,Food & Dining,Delivery,Coffee,McDonalds,expense,1
2024-02-25,38.19,Shopping,Personal Care,Retail shopping,Walgreens,expense,1
2024-02-25,43.57,Shopping,Electronics,Online purchase,CVS,expense,1
2024-02-27,25.41,Transportation,Uber/Lyft,Gas fill-up,Metro,expense,1
2024-02-28,12.98,Bank Fee,Bank Fee,Bad keep bring hundred argue.,Kelly-Palmer,expense,1
2024-02-29,35.16,Food & Dining,Restaurants,Dinner,Uber Eats,expense,1
2024-03-01,3475.56,Salary,Salary,Monthly salary payment,Healthcare LLC,income,1
2024-03-02,156.01,Utilities,Internet,Electric bill,PG&E,expense,1
2024-03-02,24.95,Entertainment,Sports,Subscription,PlayStation Store,expense,1
2024-03-02,28.5,Shopping,Electronics,Retail shopping,Walgreens,expense,1
2024-03-04,1403.51,Housing,HOA Fees,Mortgage payment,Landlord,expense,1
2024-03-04,26.71,Food & Dining,Fast Food,Grocery shopping,Chipotle,expense,1
2024-03-04,34.69,Shopping,Home Goods,Personal items,Macys,expense,1
2024-03-06,43.77,Transportation,Uber/Lyft,Parking fee,Shell,expense,1
2024-03-06,24.55,Entertainment,Streaming,Movie tickets,Spotify,expense,1
2024-03-06,49.23,Other,Other,Population several his meeting.,"Dalton, Mullins and Jones",expense,1
2024-03-07,44.44,Transportation,Car Payment,Car payment,Shell,expense,1
2024-03-07,17.08,Entertainment,Sports,Concert,AMC Theaters,expense,1
2024-03-09,42.93,Bank Fee,Bank Fee,Quality wrong air learn.,Miller Ltd,expense,1
2024-03-10,57.92,Transportation,Parking,Parking fee,Uber,expense,1
2024-03-11,13.77,Subscription,Subscription,High easy certainly happen stop.,"Petersen, Brady and Woods",expense,1
2024-03-14,35.49,Food & Dining,Delivery,Lunch,Uber Eats,expense,1
2024-03-15,3511.88,Salary,Salary,Monthly salary payment,Tech Corp,income,1
2024-03-15,135.83,Healthcare,Insurance Premium,Doctor visit,CVS Pharmacy,expense,1
2024-03-16,5.74,Entertainment,Gaming,Concert,AMC Theaters,expense,1
2024-03-18,47.54,Food & Dining,Delivery,Grocery shopping,DoorDash,expense,1
2024-03-18,24.68,Subscription,Subscription,Resource by fire tough manager.,"Ford, Deleon and Alexander",expense,1
2024-03-18,37.79,Other,Other,Surface open Democrat necessary rest.,Green and Sons,expense,1
2024-03-22,21.67,Transportation,Gas,Gas fill-up,Shell,expense,1
2024-03-26,14.04,Transportation,Car Payment,Gas fill-up,Uber,expense,1
2024-03-28,43.19,Transportation,Public Transit,Car payment,Shell,expense,1
2024-03-29,1412.01,Housing,Rent,Mortgage payment,Wells Fargo,expense,1
2024-03-29,37.02,Food & Dining,Groceries,Coffee,McDonalds,expense,1
2024-03-29,44.97,Shopping,Electronics,Online purchase,Amazon,expense,1
2024-03-29,41.86,ATM Fee,ATM Fee,Choice simple grow theory.,Crawford and Sons,expense,1
2024-03-30,41.87,Subscription,Subscription,Business media.,"Simmons, Reed and Gomez",expense,1
2024-03-30,29.57,Subscription,Subscription,Mean leg security.,"Mclean, Malone and Coleman",expense,1
2024-03-30,7.52,Bank Fee,Bank Fee,Herself charge himself later his.,Mclaughlin-Sanders,expense,1
2024-04-01,3736.12,Salary,Salary,Monthly salary payment,Healthcare LLC,income,1
2024-04-01,775.74,Freelance,Freelance,Freelance project payment,Client B,income,1
2024-04-01,15.34,Food & Dining,Fast Food,Grocery shopping,McDonalds,expense,1
2024-04-03,54.89,Transportation,Public Transit,Car payment,Metro,expense,1
