date,amount,category,subcategory,description,merchant,transaction_type,user_id
2024-01-01,2024.81,Salary,Salary,Monthly salary payment,Tech Corp,income,10
2024-01-01,1604.85,Freelance,Freelance,Freelance project payment,Client B,income,10
2024-01-01,24.23,Food & Dining,Coffee,Coffee,Whole Foods,expense,10
2024-01-01,9.33,Entertainment,Sports,Concert,PlayStation Store,expense,10
2024-01-01,21.11,Other,Other,Who range woman tough.,"Thomas, Miller and Miles",expense,10
2024-01-03,15.03,Food & Dining,Coffee,Dinner,Chipotle,expense,10
2024-01-04,7.62,Food & Dining,Restaurants,Coffee,Starbucks,expense,10
2024-01-06,106.44,Utilities,Phone,Internet bill,Water Company,expense,10
2024-01-06,8.92,Shopping,Home Goods,Online purchase,Macys,expense,10
2024-01-08,17.66,Transportation,Parking,Parking fee,Uber,expense,10
2024-01-13,138.36,Utilities,Electric,Phone bill,Comcast,expense,10
2024-01-13,12.14,Shopping,Clothing,Retail shopping,Best Buy,expense,10
2024-01-14,138.94,Utilities,Internet,Internet bill,Verizon,expense,10
2024-01-15,2166.15,Salary,Salary,Monthly salary payment,Tech Corp,income,10
2024-01-15,1238.95,Freelance,Freelance,Freelance project payment,Client B,income,10
2024-01-16,81.85,Healthcare,Dental,Doctor visit,CVS Pharmacy,expense,10
2024-01-16,34.59,ATM Fee,ATM Fee,Act conference cup.,Rodriguez-Blair,expense,10
2024-01-17,39.57,Transportation,Parking,Parking fee,Shell,expense,10
2024-01-18,13.05,Transportation,Car Payment,Parking fee,Shell,expense,10
2024-01-19,24.64,Bank Fee,Bank Fee,Lot sometimes town.,"Powers, Sanchez and Young",expense,10
2024-01-22,7.21,Shopping,Electronics,Retail shopping,Amazon,expense,10
2024-01-23,5.31,Shopping,Clothing,Retail shopping,Target,expense,10
2024-01-23,38.84,Other,Other,Car itself effort none.,Williams and Sons,expense,10
2024-01-25,854.26,Housing,Mortgage,Property maintenance,Home Depot,expense,10
2024-01-25,17.44,Transportation,Parking,Gas fill-up,Lyft,expense,10
2024-01-26,11.52,Entertainment,Gaming,Concert,Netflix,expense,10
2024-01-26,10.42,Entertainment,Movies,Movie tickets,AMC Theaters,expense,10
2024-01-26,32.79,ATM Fee,ATM Fee,Ground attorney room face.,Smith Group,expense,10
2024-01-27,106.89,Healthcare,Doctor Visit,Doctor visit,CVS Pharmacy,expense,10
2024-01-28,12.37,Other,Other,Front letter.,Martinez PLC,expense,10
2024-01-31,12.13,Shopping,Clothing,Online purchase,Walgreens,expense,10
2024-01-31,100.8,Healthcare,Pharmacy,Insurance,Dental Associates,expense,10
2024-02-01,1990.67,Salary,Salary,Monthly salary payment,Tech Corp,income,10
2024-02-01,19.25,Transportation,Public Transit,Parking fee,Metro,expense,10
2024-02-01,21.94,Subscription,Subscription,Building us industry less.,"Jones, West and Garrett",expense,10
2024-02-03,144.85,Utilities,Water,Electric bill,PG&E,expense,10
2024-02-03,19.03,Shopping,Personal Care,Retail shopping,Macys,expense,10
2024-02-04,3.35,Entertainment,Music,Movie tickets,PlayStation Store,expense,10
2024-02-04,15.08,Shopping,Home Goods,Online purchase,CVS,expense,10
2024-02-05,852.5,Housing,Maintenance,Mortgage payment,Bank of America,expense,10
2024-02-05,72.1,Healthcare,Pharmacy,Prescription,CVS Pharmacy,expense,10
2024-02-05,6.47,Subscription,Subscription,Light edge data.,Brown and Sons,expense,10
2024-02-06,15.04,Food & Dining,Coffee,Coffee,Safeway,expense,10
2024-02-06,35.31,Transportation,Parking,Gas fill-up,Honda Finance,expense,10
2024-02-06,10.71,Transportation,Uber/Lyft,Car payment,Shell,expense,10
2024-02-06,8.38,ATM Fee,ATM Fee,Debate they girl.,Mcdaniel-Jones,expense,10
2024-02-08,20.54,Shopping,Home Goods,Online purchase,Amazon,expense,10
2024-02-10,15.51,Food & Dining,Delivery,Dinner,Starbucks,expense,10
