date,amount,category,subcategory,description,merchant,transaction_type,user_id
2024-01-01,3015.92,Salary,Salary,Monthly salary payment,Finance Inc,income,7
2024-01-01,953.18,Freelance,Freelance,Freelance project payment,Client A,income,7
2024-01-01,1153.89,Housing,HOA Fees,Property maintenance,Wells Fargo,expense,7
2024-01-02,41.92,Transportation,Parking,Gas fill-up,Metro,expense,7
2024-01-02,18.34,Entertainment,Sports,Movie tickets,Netflix,expense,7
2024-01-04,18.34,Transportation,Uber/Lyft,Car payment,Uber,expense,7
2024-01-05,29.25,ATM Fee,ATM Fee,Couple possible thus natural difference.,"Price, Sanders and Mcgrath",expense,7
2024-01-06,17.81,Other,Other,Best every include suggest.,Collier-Burns,expense,7
2024-01-08,37.85,Food & Dining,Fast Food,Lunch,Starbucks,expense,7
2024-01-08,7.5,Entertainment,Gaming,Movie tickets,AMC Theaters,expense,7
2024-01-09,29.09,Shopping,Home Goods,Retail shopping,CVS,expense,7
2024-01-09,45.02,ATM Fee,ATM Fee,Would half pay not.,"Vargas, Miller and Diaz",expense,7
2024-01-09,32.15,Other,Other,Team truth.,Curtis-Garner,expense,7
2024-01-10,115.92,Healthcare,Pharmacy,Insurance,Dental Associates,expense,7
2024-01-10,23.45,Bank Fee,Bank Fee,Because much.,Walker-Miller,expense,7
2024-01-11,18.14,Subscription,Subscription,Lead including although easy.,Wright-Williams,expense,7
2024-01-12,16.36,Bank Fee,Bank Fee,Enough government hundred learn inside.,Clark LLC,expense,7
2024-01-14,38.16,Food & Dining,Restaurants,Grocery shopping,Whole Foods,expense,7
2024-01-14,12.89,Entertainment,Streaming,Subscription,AMC Theaters,expense,7
2024-01-14,33.06,Subscription,Subscription,Physical bag nature.,Hall-Robinson,expense,7
2024-01-15,3071.15,Salary,Salary,Monthly salary payment,Finance Inc,income,7
2024-01-15,1281.58,Freelance,Freelance,Freelance project payment,Client B,income,7
2024-01-16,14.89,Other,Other,Agent discussion.,Barber Group,expense,7
2024-01-17,197.46,Utilities,Electric,Internet bill,PG&E,expense,7
2024-01-18,48.92,Subscription,Subscription,Few cut.,Murphy-Ortiz,expense,7
2024-01-19,21.96,Entertainment,Sports,Concert,AMC Theaters,expense,7
2024-01-20,14.16,ATM Fee,ATM Fee,Suggest meet us left.,Wilson Inc,expense,7
2024-01-21,41.99,Transportation,Public Transit,Parking fee,Honda Finance,expense,7
2024-01-23,5.64,Bank Fee,Bank Fee,Dark he.,"Christian, Sweeney and Medina",expense,7
2024-01-25,57.61,Transportation,Public Transit,Parking fee,Metro,expense,7
2024-01-25,17.36,Entertainment,Sports,Concert,PlayStation Store,expense,7
2024-01-26,23.72,Food & Dining,Fast Food,Coffee,Chipotle,expense,7
2024-01-26,25.9,Shopping,Home Goods,Online purchase,Target,expense,7
2024-01-27,57.53,Transportation,Gas,Car payment,Uber,expense,7
2024-01-27,137.34,Utilities,Gas,Internet bill,Water Company,expense,7
2024-01-27,26.36,Other,Other,Behind against million.,Carr-Ward,expense,7
2024-01-28,52.77,Transportation,Uber/Lyft,Car payment,Lyft,expense,7
2024-01-28,13.22,Shopping,Home Goods,Personal items,Target,expense,7
2024-01-28,32.5,Other,Other,Drug relationship message environment upon.,"Lewis, Rivera and Aguilar",expense,7
2024-01-29,33.26,Food & Dining,Delivery,Dinner,Starbucks,expense,7
2024-01-30,42.33,Food & Dining,Groceries,Grocery shopping,Starbucks,expense,7
2024-02-01,3140.64,Salary,Salary,Monthly salary payment,Finance Inc,income,7
2024-02-01,16.27,Shopping,Personal Care,Retail shopping,Macys,expense,7
2024-02-01,7.88,Shopping,Personal Care,Personal items,Walgreens,expense,7
2024-02-02,1164.04,Housing,Property Tax,Mortgage payment,Landlord,expense,7
2024-02-02,8.08,Subscription,Subscription,Three say prepare sometimes.,"Gardner, Rodgers and Ashley",expense,7
2024-02-02,8.93,ATM Fee,ATM Fee,Site either both research what.,Mooney and Sons,expense,7
2024-02-03,43.53,Other,Other,Identify whose bring.,Robinson and Sons,expense,7
2024-02-05,10.66,Food & Dining,Delivery,Grocery shopping,McDonalds,expense,7
2024-02-05,9.92,ATM Fee,ATM Fee,Social ground early fund chair.,Kim PLC,expense,7
2024-02-05,44.76,Bank Fee,Bank Fee,Tree stay.,Ortiz PLC,expense,7
2024-02-06,1241.46,Housing,Mortgage,Property maintenance,Home Depot,expense,7
2024-02-06,24.6,Transportation,Gas,Gas fill-up,Uber,expense,7
2024-02-07,38.76,Other,Other,Simply focus perform.,"Cook, Brewer and Norman",expense,7
2024-02-08,11.5,Entertainment,Streaming,Movie tickets,Netflix,expense,7
2024-02-08,19.3,ATM Fee,ATM Fee,Also or again international.,Rodriguez-Cruz,expense,7
2024-02-09,22.27,Entertainment,Movies,Movie tickets,Netflix,expense,7
2024-02-11,126.6,Utilities,Electric,Phone bill,Water Company,expense,7
2024-02-11,12.98,Entertainment,Movies,Movie tickets,AMC Theaters,expense,7
2024-02-14,17.59,Shopping,Books,Online purchase,Best Buy,expense,7
2024-02-14,40.51,ATM Fee,ATM Fee,The reach fast better piece.,"Marquez, Martin and Montoya",expense,7
2024-02-15,3038.38,Salary,Salary,Monthly salary payment,Finance Inc,income,7
2024-02-15,1528.26,Freelance,Freelance,Freelance project payment,Client A,income,7
2024-02-15,1202.15,Housing,HOA Fees,Rent payment,Wells Fargo,expense,7
2024-02-16,120.31,Healthcare,Dental,Doctor visit,Dental Associates,expense,7
2024-02-16,121.99,Healthcare,Doctor Visit,Insurance,Dental Associates,expense,7
2024-02-16,48.41,ATM Fee,ATM Fee,Money experience fight election.,Moss-Marshall,expense,7
2024-02-19,19.25,Entertainment,Sports,Subscription,Spotify,expense,7
2024-02-20,123.23,Healthcare,Doctor Visit,Insurance,Dental Associates,expense,7
2024-02-21,25.19,Transportation,Gas,Parking fee,Uber,expense,7
2024-02-21,139.74,Utilities,Electric,Phone bill,PG&E,expense,7
2024-02-23,13.69,Food & Dining,Fast Food,Lunch,DoorDash,expense,7
2024-02-23,13.61,Food & Dining,Groceries,Dinner,Uber Eats,expense,7
2024-02-25,36.52,Transportation,Uber/Lyft,Gas fill-up,Lyft,expense,7
2024-02-25,12.39,ATM Fee,ATM Fee,Ok try rate.,Long-Sosa,expense,7
2024-02-27,40.4,Food & Dining,Fast Food,Dinner,Chipotle,expense,7
