date,amount,category,subcategory,description,merchant,transaction_type,user_id
2024-01-01,3732.37,Salary,Salary,Monthly salary payment,Healthcare LLC,income,8
2024-01-01,1463.65,Freelance,Freelance,Freelance project payment,Upwork,income,8
2024-01-01,36.75,Transportation,Uber/Lyft,Car payment,Shell,expense,8
2024-01-01,35.14,Other,Other,Bag type college.,"Wright, Mills and Rowe",expense,8
2024-01-02,44.89,ATM Fee,ATM Fee,Production sure agent back.,Davis-Dixon,expense,8
2024-01-03,152.96,Utilities,Electric,Phone bill,Water Company,expense,8
2024-01-03,9.02,Subscription,Subscription,Red event officer beat.,"Roberts, Holmes and Leon",expense,8
2024-01-04,19.68,Food & Dining,Delivery,Coffee,McDonalds,expense,8
2024-01-04,17.68,Transportation,Public Transit,Gas fill-up,Metro,expense,8
2024-01-04,137.95,Utilities,Electric,Phone bill,AT&T,expense,8
2024-01-06,108.02,Healthcare,Pharmacy,Prescription,CVS Pharmacy,expense,8
2024-01-06,37.39,Other,Other,Thus magazine worker consider often.,Williams and Sons,expense,8
2024-01-06,19.01,Other,Other,Point your discover every develop.,Garcia Inc,expense,8
2024-01-06,29.26,Bank Fee,Bank Fee,Include federal.,Taylor and Sons,expense,8
2024-01-08,31.98,Transportation,Uber/Lyft,Gas fill-up,Metro,expense,8
2024-01-09,204.68,Healthcare,Insurance Premium,Insurance,Kaiser Permanente,expense,8
2024-01-09,21.86,Other,Other,Sell machine represent attention dog.,Frank-Cummings,expense,8
2024-01-09,33.2,ATM Fee,ATM Fee,Value force.,"Jackson, Boyd and Woodward",expense,8
2024-01-10,1467.59,Housing,Maintenance,Mortgage payment,Home Depot,expense,8
2024-01-12,15.74,Entertainment,Music,Subscription,PlayStation Store,expense,8
2024-01-13,20.73,Shopping,Personal Care,Personal items,Best Buy,expense,8
2024-01-13,25.35,Shopping,Personal Care,Personal items,Amazon,expense,8
2024-01-14,45.3,Food & Dining,Coffee,Coffee,McDonalds,expense,8
2024-01-14,31.79,Shopping,Home Goods,Personal items,CVS,expense,8
2024-01-15,3709.3,Salary,Salary,Monthly salary payment,Tech Corp,income,8
2024-01-15,654.07,Freelance,Freelance,Freelance project payment,Client B,income,8
2024-01-19,33.18,Shopping,Home Goods,Online purchase,Target,expense,8
2024-01-19,178.39,Healthcare,Dental,Insurance,Dental Associates,expense,8
2024-01-20,44.17,Shopping,Electronics,Retail shopping,Walgreens,expense,8
2024-01-21,41.54,Food & Dining,Restaurants,Lunch,McDonalds,expense,8
2024-01-21,10.55,Entertainment,Gaming,Movie tickets,Netflix,expense,8
2024-01-22,37.27,Other,Other,Agree travel generation.,Tucker-Lee,expense,8
2024-01-22,47.1,ATM Fee,ATM Fee,Plant conference current sing.,"Allen, Smith and Reed",expense,8
2024-01-24,39.31,Bank Fee,Bank Fee,Try address right here believe.,"Ball, Parker and Morgan",expense,8
2024-01-25,32.79,Subscription,Subscription,Read bag shake by than.,Spencer Ltd,expense,8
2024-01-26,12.33,Bank Fee,Bank Fee,Couple important century sea your.,"Tran, Jones and Jones",expense,8
2024-01-26,25.89,Subscription,Subscription,Street stage.,Hughes-Miller,expense,8
